name,artist,danceability,key,mode,instrumentalness,duration,energy,loudness,speechiness,acousticness,tempo,liveness,valence,popularity,hollywood
were all to blame,sum41,0.223,8,0,0,1.416057344,0.895,-4.937,0.111,0.00194,0.72503216,0.0899,0.304,0,1
amazing,georgemichael,0.805,10,0,1.77E-06,1.6502065,0.754,-6.825,0.0394,0.0884,0.583786757,0.117,0.88,0.291457286,1
always,saliva,0.363,1,1,0,1.479936564,0.906,-4.415,0.0615,0.0122,0.827135409,0.172,0.37,0.266331658,1
pray for plagues,bringmethehorizon,0.307,6,1,0.028,1.630715959,0.971,-5.654,0.211,0.0119,0.475683317,0.647,0.157,0.231155779,1
do they know its christmas  1984 version,bandaid,0.599,0,1,3.33E-05,1.435532154,0.642,-6.936,0.0363,0.164,0.524616692,0.0992,0.349,0,1
ghost prototype ii  deus ex machina,scarsymmetry,0.349,11,1,0.0201,2.044446705,0.978,-3.659,0.087,0.000125,0.909133472,0.113,0.297,0,1
you cant hurry love,thesupremes,0.645,7,0,0,1.088864599,0.788,-6.92,0.0512,0.355,0.439586714,0.081,0.603,0,1
stay out of trouble,kingsofconvenience,0.644,2,0,0.0211,1.817044014,0.478,-9.641,0.0281,0.451,0.574304637,0.11,0.548,0.211055276,1
time to dance,panicatthedisco,0.426,9,0,0,1.321347001,0.97,-2.512,0.164,0.0135,0.773642798,0.291,0.431,0.226130653,1
camaro,kingsofleon,0.418,2,1,0.0527,1.227106693,0.912,-3.941,0.082,0.0109,0.618656048,0.101,0.349,0,1
if you dont know me by now,simplyred,0.606,10,1,0,1.314324914,0.372,-8.254,0.0278,0.471,0.426531753,0.101,0.233,0.020100503,1
this fire,franzferdinand,0.545,7,1,1.48E-06,1.60810733,0.87,-9.449,0.0521,0.00232,0.627460874,0.101,0.648,0,1
no other way,jackjohnson,0.845,5,1,0.00794,1.245745131,0.256,-12.768,0.0637,0.489,0.527653153,0.117,0.474,0.296482412,1
hammerhead,theoffspring,0.485,11,1,0.00825,1.707123094,0.95,-3.571,0.0541,0.00163,0.701963244,0.0757,0.51,0,1
ieaiaio,systemofadown,0.626,0,1,0.0219,1.238320533,0.791,-2.734,0.0721,0.000126,0.605491993,0.439,0.433,0.005025126,1
bones,thekillers,0.472,9,1,0.124,1.457911912,0.902,-3.607,0.0643,0.000679,0.634429277,0.0822,0.567,0,1
take me into your skin,trentemøller,0.602,5,0,0.871,2.320661624,0.418,-12.392,0.0381,0.0517,0.536453433,0.104,0.0784,0,1
your arms around me,jenslekman,0.334,9,1,6.15E-05,1.809641754,0.61,-6.981,0.0384,0.0313,0.479510712,0.331,0.307,0,1
join me  razorblade mix,him,0.625,8,0,1.53E-05,1.402919962,0.696,-6.908,0.0325,0.0276,0.517330097,0.127,0.606,0.155778894,1
wonderful life,black,0.72,7,1,0.36,1.749013429,0.521,-12.468,0.0302,0.705,0.482083521,0.214,0.823,0.331658291,1
